,Current Ranking,Last Week's Ranking,Song Title,Artist,Peak Position,Num Weeks in TOP 100
0,1,1,Don't Give It To Me,Loco x Hwa Sa,1 ,4 
1,2,2,What Is Love?,TWICE,1 ,4 
2,3,3,Pass By,Nilo,2 ,4 
3,4,17,Bittersweet,CRUSH,4 ,2 
4,5,6,Time For The Moon Night,GFriend,5 ,2 
5,6,--,You,Melomance,6 ,11 
6,7,8,Bboom Bboom,MOMOLAND,2 ,18 
7,8,9,Love Scenario,iKON,1 ,16 
8,9,11,Starry Night,MAMAMOO,1 ,10 
9,10,12,Flower Road,BIGBANG,2 ,9 
10,11,10,Boong Boong,"HAON Feat. Sik-K, Prod. GroovyRoom",3 ,4 
11,12,4,Just Friends,Melomance,4 ,3 
12,13,14,Good Old Days,Jang Deok Cheol,1 ,22 
13,14,13,Everyday,WINNER,3 ,6 
14,15,15,Sudden Shower,"Yong Jun Hyung, 10cm",9 ,7 
15,16,18,Gift,Melomance,2 ,22 
16,17,19,Roller Coaster,Chung Ha,6 ,17 
17,18,--,My Way,ISU,18 ,1 
18,19,16,Only Then,Roy Kim,2 ,13 
19,20,22,Blooming Day,EXO-CBX,16 ,4 
20,21,21,Bar Code,HAON Feat. Vinxen (Prod. GroovyRoom),4 ,7 
21,22,26,Boomerang,Wanna One,1 ,7 
22,23,28,The Only Star,Hwang ChiYeul,11 ,3 
23,24,31,"Every Day, Every Moment",Paul Kim,24 ,7 
24,25,29,Contrail,MoonMoon,4 ,22 
25,26,25,Bad Boy,Red Velvet,2 ,15 
26,27,24,Jenga,"Heize, Gaeko",4 ,10 
27,28,35,Sorrow In Vain, Nilo,28 ,6 
28,29,--,Asian Drum,"WEBSTER B Feat. CHIN CHILLA, SLO",29 ,1 
29,30,32,Like It,Yoon Jong-Shin,10 ,22 
30,31,33,Star,GB9,16 ,22 
31,32,--,Not At All,"Vinxen Feat. Woo Won Jae, Prod. GroovyRoom",32 ,1 
32,33,36,When Autumn Comes,Monday Kiz,28 ,22 
33,34,7,The Other Day,Park Hyo Shin,7 ,2 
34,35,37,Heart Shaker,TWICE,1 ,22 
35,36,38,Instagram,DEAN,2 ,20 
36,37,39,Through The Night,IU,21 ,22 
37,38,--,When Night Is Falling,Punch,38 ,1 
38,39,41,The Snowman,Jung Sueung Hwan,6 ,13 
39,40,44,Red Flavor,Red Velvet,40 ,22 
40,41,34,The Little Prince," HAON Feat. PULLIK, Godic",16 ,7 
41,42,43,DNA,BTS,18 ,22 
42,43,69,Shine,Pentagon,43 ,2 
43,44,42,We Are ,Woo Won Jae Feat. Loco & GRAY,20 ,22 
44,45,47,Spring Day,BTS,28 ,22 
45,46,--,Latata,(G)I-DLE,46 ,1 
46,47,48,"You, Clouds, Rain ",Heize Feat. Shin Yong Jae,30 ,22 
47,48,--,Go Away,Yong Jun Hyung,48 ,1 
48,49,49,All My Life,Park Won,17 ,22 
49,50,--,Lee Lo Han,"WEBSTER B Feat. ELO, Jessi, Prod. Padi",50 ,1 
50,51,23,That day,Lovelyz,23 ,3 
51,52,54,Marriage,MoonMoon,52 ,9 
52,53,50,Likey,TWICE,9 ,22 
53,54,57,Heroine,Sunmi,2 ,17 
54,55,52,Really Really,WINNER,47 ,22 
55,56,53,Breakup In The Morning,4Men,30 ,22 
56,57,60,Lie,Yang Da Il,41 ,19 
57,58,55,#FirstLove,Bolbbalgan4,2 ,18 
58,59,62,Energetic,Wanna One,31 ,22 
59,60,71,Adult,Sondia,60 ,4 
60,61,59,I Promise You (I.P.U.),Wanna One,4 ,10 
61,62,61,Missing You,BTOB,16 ,22 
62,63,--,Blame,Vinxen (Prod. BOYCOLD),63 ,1 
63,64,64,I Will Go To You Like The First Snow,Ailee,30 ,22 
64,65,63,Deepen,Melomance,50 ,22 
65,66,58,Didn't Know Me,HEIZE,8 ,10 
66,67,56,Easy,Whee In Feat. Sik-K,38 ,4 
67,68,70,Try,Park Won,42 ,22 
68,69,65,As If It's Your Last,BLACKPINK,43 ,22 
69,70,67,Some,Bolbbalgan4,15 ,22 
70,71,68,Beautiful,Wanna One,8 ,22 
71,72,46,My Paradise,"GroovyRoom Feat. CHUNG HA, VINXEN",46 ,2 
72,73,66,Like It,"WEBSTER B & Clloud Feat. Haeng-ju, Boy B",27 ,7 
73,74,--,Sinking Down With U,VINXEN,74 ,1 
74,75,72,Will Be Fine,Park Bo ram,68 ,13 
75,76,91,Only We Know,Yoon Gun,76 ,7 
76,77,78,Universe,EXO,1 ,18 
77,78,--,I Hope It's Breeze,BG9,78 ,1 
78,79,74,Emptiness In Memory,Naul,2 ,22 
79,80,73,Adios,HAON Prod. BOYCOLD,46 ,4 
80,81,--,Post It,LOCO Feat. Jay Park,81 ,1 
81,82,75,Peek-A-Boo,Red Velvet,7 ,22 
82,83,--,How Do You Feel,VINXEN,83 ,1 
83,84,89,Rain,Paul Kim,81 ,10 
84,85,81,Air,WINNER,26 ,6 
85,86,79,Yes,"Yoon Jong Shin, Minseo",6 ,22 
86,87,83,Phonecert,10cm,60 ,22 
87,88,88,Go Go,BTS,52 ,22 
88,89,86,Playdate,EXO-CBX,83 ,4 
89,90,--,My Star,K.Will,90 ,1 
90,91,--,End of Love,Kim Na Young,91 ,1 
91,92,87,Palette,IU Featuring G-DRAGON,50 ,22 
92,93,--,Feeling,UNB,93 ,1 
93,94,90,To My Youth,Bolbbalgan4,26 ,22 
94,95,95,A Daily Song,Hwang ChiYeul,44 ,17 
95,96,92,Gashina,Sunmi,24 ,22 
96,97,82,Upside Down,"Jay Park,Simon Dominic,Loco,GRAY",82 ,2 
97,98,--,Burning Thirsty,VINXEN with Sandy,98 ,1 
98,99,80,Dally,Hyolyn Featuring Gray,63 ,3 
99,100,84,Only You,Huh Gak,29 ,22 
